attempts,small_area,big_area,abs_err_small,abs_err_big
63100,0.944849,0.913665,0.000332259,0.0308521
63600,0.945991,0.950354,0.00147338,0.00583689
64100,0.942005,0.933386,0.00251251,0.0111315
64600,0.946711,0.959572,0.00219334,0.0150546
65100,0.941494,0.953845,0.00302333,0.0093274
65600,0.941845,0.930124,0.00267267,0.0143933
66100,0.947012,0.931766,0.00249492,0.0127512
66600,0.947466,0.965645,0.00294903,0.0211274
67100,0.946088,0.934252,0.00157074,0.0102648
67600,0.945803,0.936403,0.00128533,0.00811442
68100,0.942768,0.947373,0.0017492,0.00285571
68600,0.946228,0.958467,0.00171095,0.0139494
69100,0.942855,0.96138,0.00166263,0.0168628
69600,0.944576,0.955032,5.89635e-05,0.010515
70100,0.942136,0.9546,0.00238095,0.0100828
70600,0.946725,0.955964,0.00220732,0.0114469
71100,0.946976,0.941994,0.0024589,0.00252289
71600,0.939403,0.941119,0.00511425,0.00339813
72100,0.945839,0.936076,0.00132193,0.00844135
72600,0.946212,0.940208,0.00169494,0.00430897
73100,0.945776,0.941491,0.00125915,0.00302607
73600,0.950204,0.951079,0.00568662,0.00656133
74100,0.944551,0.933378,3.40962e-05,0.0111397
74600,0.948056,0.955011,0.00353911,0.0104937
75100,0.949351,0.947876,0.00483368,0.00335871
75600,0.942708,0.94135,0.00180885,0.00316751
76100,0.942789,0.953561,0.00172809,0.00904422
76600,0.943309,0.971579,0.00120779,0.0270618
77100,0.944942,0.944472,0.000424448,4.50938e-05
77600,0.945522,0.963193,0.00100472,0.0186759
78100,0.94227,0.928644,0.00224766,0.0158727
78600,0.945102,0.928303,0.000584595,0.016214
79100,0.946128,0.953408,0.00161113,0.00889127
79600,0.944943,0.942168,0.000426281,0.00234939
80100,0.94524,0.952794,0.000723139,0.00827641
80600,0.949845,0.949778,0.00532773,0.00526071
81100,0.941662,0.935651,0.00285566,0.00886649
81600,0.946615,0.931109,0.0020974,0.0134082
82100,0.946072,0.935622,0.00155468,0.00889482
82600,0.943962,0.961267,0.000555321,0.0167502
83100,0.942283,0.936414,0.00223379,0.00810351
83600,0.94363,0.94221,0.000886803,0.00230731
84100,0.940577,0.945741,0.00394049,0.00122353
84600,0.945331,0.953482,0.000813783,0.00896463
85100,0.946034,0.939197,0.00151689,0.00532001
85600,0.9434,0.960175,0.00111765,0.0156573
86100,0.942102,0.952905,0.00241498,0.00838764
86600,0.943014,0.930788,0.00150333,0.0137293
87100,0.946168,0.933146,0.00165101,0.0113707
87600,0.943136,0.944024,0.00138077,0.000493345
88100,0.943019,0.944956,0.00149789,0.000439116
88600,0.943073,0.936771,0.00144439,0.00774659
89100,0.945721,0.944717,0.00120391,0.000199459
89600,0.945159,0.931307,0.000641854,0.0132103
90100,0.941024,0.948259,0.00349332,0.00374176
90600,0.942039,0.939592,0.002478,0.00492533
91100,0.949259,0.956526,0.00474187,0.0120087
91600,0.94244,0.949182,0.00207723,0.00466471
